index,product,sub_category,brand,sale_price,market_price,type,rating,Quantity,description
11,Wheat Grass Powder - Raw,Cooking & Baking Needs,NUTRASHIL,294.93,327.7,Flours & Pre-Mixes,4,129,"Wheatgrass is a superfood potent health food with amazing benefits. It contains all minerals, Vitamins A, B- complex, C, E, I and K. It is extremely rich in protein and contains 17 amino acids. It is thought to benefit health only when fresh and taken on an empty stomach immediately after being mixed."
12,Butter Cookies Gold Collection,Chocolates & Biscuits,Sapphire,678,678,"Luxury Chocolates, Gifts",2.2,179,Enjoy a tin full of delicious butter cookies made with pure Danish recipe. Enjoy them as an energy snack. or with tea and coffee. Sapphire Butter cookies make a perfect gift pack for your loved ones. This product is 100% vegetarian.
13,"Face Wash - Oil Control, Active",Skin Care,Oxy,124.3,124.3,Face Care,5,54,"This face wash deeply cleanses dirt and impurities. Active ingredients help remove excess oil and other pimple causing germs, leaving skin clean and fresh. Its a oil-control & pimple clearing ingredients which rid your skin of excess oil and other a pimple-causing germs, leaving it clean and fresh."
14,Mold & Mildew Remover with Bleach,All Purpose Cleaners,Clorox,395.5,395.5,Floor & Other Cleaners,3.8,56,"This formula has been scientifically proven to kill 99.9% of germs. It removes mold & mildew powerfully, leaving no residue behind. cleans & disinfects at the same time. Colox Mold & Mildew Remover with Bleach is perfect for a solution for a germ-free house."
15,Just Spray - Mosquito Repellent Room Spray,Fresheners & Repellents,Herbal Strategi,226,226,Mosquito Repellent,4.2,51,"Strategi Just Spray is a very effective 100% Herbal Mosquito Repellent Room Spray completed from a distinctive mix of plant extracts and fragrant oils which remains mosquitoes away for 8-12 hrs. Just Spray has been developed to remove the discomfort of using chemical mosquito repellents such as chemical vaporisers, chemical mosquito coils etc."
16,Dove Plastic Soap Case - Assorted Colour,Bins & Bathroom Ware,Nakoda,55.37,66.67,Soap Cases & Dispensers,4,14,"This soap case is made of virgin plastic which makes it strong and durable. This is ideal for the bathroom, kitchen, etc.This will protect your soap bars from melting and will make it lasts longer."
17,Smooth Skin Oil - For Dry Skin,Skin Care,Aroma Treasures,366.12,406.8,Aromatherapy,5,212,"Specially crafted for dry skin, this richly formulated skin oil restores the natural moisture of the skin, improves its health and youthfulness. Not to mention how soft, shiny and smooth it makes your skin.


Aroma Treasures, pioneers of aromatherapy have put in years of research and study to give you the ultimate range of beauty care products."
18,Salted Pumpkin,"Snacks, Dry Fruits, Nuts",Graminway,203.4,203.4,Roasted Seeds & Nuts,4.9,123,"Graminway Salted Pumpkin Seeds are the perfect snack for your family. These are ancient food, lost with time. These are tiny nutritional powerhouses loaded with essential elements, many of which are trace elements. They are rich in manganese, magnesium, copper, and zinc, which can give your health an added boost. Pumpkin seeds are the best sources of plant-based omega-3s (alpha-linolenic acid). Also, they are rich in healthy fats, antioxidants, and fibres. Moreover, they are easy to carry and make an excellent snack when you are on the go and can be a quick snack when you are home too. At Graminway, they believe that everyone deserves to live a full and healthy life. The intake of their food supplements will provide a good foundation for a healthy lifestyle. They are committed to providing the highest quality products at affordable price. They are a company with a purpose beyond profit and want to make a lasting difference in the world. Graminway aims to provide clean, natural, and healthy products without compromising on the flavours and taste. They produce them in small batches, which helps maintain freshness and preserve the ingredient texture. By not stockpiling, each product is as fresh as possible when it reaches your doorstep."
19,Flax Seeds - Roasted,"Snacks, Dry Fruits, Nuts",True Elements,135.6,135.6,Roasted Seeds & Nuts,4.3,232,"True Elements brings to you Roasted Flax Seeds that are loaded with health benefits and nutrients. It is perfectly crunchy and is 100% natural and high-quality. These seeds are slightly roasted to get maximum health benefits and the right crunch. It is very high in fibre and provides good amounts of protein. It is also rich in fat and Omega 3. It is a great mid-meal snack, sprinkled over breakfast, soups or can be ground into a powder and added to food.
Benefits: 1. It is loaded with many health benefits and nutrients.
2. It is a great healthy snack or meal option.
3. It is very high in fibre and provides good amounts of protein.
4. It is also rich in fat and Omega 3.
5. It is 100% natural and made of high-quality."
20,Organic Tofu - Soy Paneer,Dairy & Cheese,Murginns,96.2082,101.7,Tofu,3.9,24,"We at Wellness Foods, manufacture dairy and non-dairy products, Fresh Cheese, Tofu, and Butter. Our tofu is 100% organic without any preservatives. Our cheese is handcrafted by an Italian cheesemaker, from milk directly procured from farmers.Murginns’ fresh and firm Organic tofu is the perfect non-dairy substitute to paneer or cottage cheese, made from organic soybeans. Tofu, also called bean curd, is a preparation made by soya milk coagulation. A good source of calcium, manganese, copper, selenium, protein, phosphorus, and rich in vitamin B1."
21,Ceramic Barrel Brush - Colour May Vary,Hair Care,Bronson Professional,593.25,791,Tools & Accessories,4.2,127,This Ceramic Barrel Brush by Bronson Professional is lightweight and the rubber grip ensures easy handling. It distributes the heat easily and reduces hair drying time. The ceramic-coated barrel emits negative ions reducing frizz.
22,Instant Noodles - Chicken Satay Flavor,"Pasta, Soup & Noodles",Koka,50.85,56.5,Imported Noodles,4.1,19,"Koka Instant noodles are known for their carefully selected ingredients and specially formulated recipes. It promises great taste without the addition of MSG. A leading instant noodle brand, Koka offers you great taste, texture and flavour. It is available in variety of Asian flavours and it comes in packets or as cup noodles. From the packet noodles range comes the Koka Instant Noodles Chicken Satay Flavour."
23,Chia Seeds,Dry Fruits,NaturoBell,135.6,135.6,Other Dry Fruits,3.9,155,"Raw Chia seeds, naturally gluten free, lyva raw chia seeds are a whole, vegetarian food, naturally rich in omega-3 and omega-6 essential fatty acids, dietary fiber, protein and other essential minerals. just a spoonful of lyva raw chia seeds a day is an easy and delicious way to support your digestive health and satiate your appetite homemade buffalo manure has been used as a compost during the cultivation of these seeds. no pesticides or insecticides were used making it near organic suggested uses - 1 tbsp. Daily mixes easily in water or juice. excellent when used as a topping for yogurt, salad, breakfast cereals, blended smoothie beverages and fresh coconut water ingredients - organically grown 100% chia seed (salvia hispanica) 15 g of chia seeds provide - all your daily requirement of omega-3 and omega 6 - also boosts the fiber, antioxidants and protein in your diet.  Click here for unique and delicious recipes - https://www.abcd.com/flavors/collections/231/dry-fruits-berries-nuts/"
24,Cleanse Green Tea - Whole Leaf Loose Tea,Drinks & Beverages,Cambridge Tea Party,84.75,84.75,Gourmet Tea & Tea Bags,3.9,155,"This beautiful box of Cambridge Tea Party Cleanse has 50g, 25 servings of Whole leaf Green Tea. This tea will give the antioxidant boost and helps you get strong. Cambridge Tea Party is one of the premier tea brands in the world."
25,Veggie Cutter,Kitchen Accessories,IRICH,220.35,220.35,Choppers & Graters,5,90,"Food Grade High Quality Plastic, Keep and store knife away from the reach of children. Multi use 2-in-1 Veg Cutter with Round Sharp steel blade along with slicer, Specially designed for cutting vegetables and fruits with locking system. Easy to use and wash"
26,Insulated Hot Fresh Casserole For Roti/Chapati - White,Flask & Casserole,Cello,744.67,1011.35,Casserole,3.3,168,"Stop your worries about keeping your food warm during your dinner. Aesthetically designed, Cello's vibrant casseroles are an absolute marvel of design elegance. It is made of food-grade material with a thermic guard. The inner mirror-finished liner parts are fabricated out of non-magnetic stainless steel seat. The plastic outer body and lead components are moulded out of virgin food grade plastic polymers which gives it a sturdy and beautiful finish. With a unique glazed finish that gives a sophisticated look, is one of a superlative essential in your kitchen collections. Scientifically measured insulation properties keep food warm and fresh just as home packed food is expected to be."
27,Granola - Happy Berries,Breakfast Cereals,Fit & Flex,276.85,299.45,Granola & Cereal Bars,3.5,41,"Fit & Flex granola is not just crunchy and tasty, it is also incredibly great for you. It is the perfect start to your every morning and packs quite a nutritious punch. Easy to chew, amazingly high on flavour and delightfully caramelised just right, is how we describe Fit & Flex granola."
28,Flaxseed - Pesticide Free,Dry Fruits,Safe Harvest,60.907,62.15,Other Dry Fruits,4,131,"Super-nutritious and good for your heart, flaxseed is also a rich source of fibre and Omega-3 fatty acids. We procure our flax seeds from the Gond tribes of eastern Madhya Pradesh who are traditionally practitioners of sustainable farming over many generations. Sprinkle into your morning breakfast cereal or porridge or make a blitz together with chillies, ginger, coconut and lemon juice for an interesting nutritious twist to idli chutney breakfast.  All Safe Harvest products are cultivated completely devoid of synthetic chemical pesticides."
29,Paratha Puff,Frozen Veggies & Snacks,Switz,101.7,124.3,Frozen Veg Snacks,4.3,162,"Switz Puff Parathas are made with the highest quality ingredients through a specialized layering process that makes them fluffy and flaky. Made of wheat, these scrumptious parathas melt in the mouth, and will instantly become your new favourite. The buttery, soft parathas can easily be folded or cut into pieces, and tastes delicious with curries or just with tea. If you like laccha paratha or Malabar paratha, you will love the Switz Puff Paratha.It also serves as a versatile base for many snacks and dishes that can easily be made on a non-stick pan like mini rolls, quesadilla, Kathi rolls, paratha wraps, etc. You can even use it as a puff pastry by baking to make tarts, aloo/veg/ kheema puffs, cheese burst pizza, chicken pie, caramelized onions or mushroom mini bites, pinwheel bites, paratha twists, etc. With the Switz Puff Paratha, the only constraint is your imagination and creativity."
30,Lip Butter - Rose,Skin Care,Organic Harvest,191.1395,224.87,Lip Care,1.5,120,Reload the dry and chapped lips with Organic Lip Butter Rose. The ideal mixture of organic butter and waxes instantly brightens your lips with red colour. Whenever you apply the colour it adds on to your charm with a rich creamy texture.
31,Fruit Power - Masala Sugarcane,Fruit Juices & Drinks,Real,21.47,22.6,Juices,2.9,161,"Sugarcane and Spicy Masala, a love story that has been part of every Indian home across generations. Real Masala Sugarcane is one of the 1st in India offering the benefits of your age-old sugarcane juice with a sprinkling of traditional Indian masala in the hygienic Tetra pack format. So relish every drop of our new Masala Sugarcane beverage that promises to refresh you with every gulp. Savour the natural sugarcane goodness brought to your home by Real."
32,Chocobakes Choc Filled Cookies,"Cookies, Rusk & Khari",Cadbury,115.26,135.6,"Bakery Biscuits, Cookies",4.2,37,"Experience new exciting chocolatey centre filled cookie from Cadbury. Perfect as an indulgent ""me time"" treat or to relish happy moments with your loved ones and friends. Indulge in the taste of this amazing combination of delicious cookies that enrobe a smooth Chocolatey centre."
33,Amber - Deodorant Body Spray,Fragrances & Deos,Old Spice,239.1645,281.37,Men's Deodorants,3.4,152,"Smellcome to Magic with Old Spice’s New Launch Deodorant range. 0% Gas and for long-lasting 24-hour freshness. A fruity fragrance with notes of blackberry, black raspberry, and plum, rounded out with sweet vanilla and amber notes at the base. Armed with Amber, flanked by the Old Spice eagles, you have the beacon to freely spread joy amongst your smellectorate."
34,Green Tea - Tulsi Loose Leaf,Tea,Octavius,254.25,254.25,Green Tea,3.7,65,"Octavius Tulsi Green Tea, is a unique combination where both the herbs help in refreshing and energizing the body and mind. It promotes metabolism which is vital for weight management. Green tea and Tulsi offer a vast array of remarkable health benefits including an abundance of antioxidants."
35,Pet Solitaire Container Set - Silver,Storage & Accessories,Steelo,563.87,1094.97,Containers Sets,3.9,57,"The Steelo plastic PET Container Set, is made of 100% food-grade PET plastic that helps you store, pulses, spices and more in a safe way. These containers are Bisphenol A (BPA) free, thus keeping you safe from health hazards. Therefore, these containers help you make a healthier lifestyle choice. The PET material makes the containers odour-free, so you donot have to worry about the spices and cereals smelling different. The airtight seal completely locks the container and conserves the nutritional value of the stored items."
36,Dhania - Dal,Masalas & Spices,bb Royal,110.74,135.6,Whole Spices,4.1,127,"Finest quality split coriander seeds roasted and mildly salted; crunchy and crisp. A traditional mouth freshener and an excellent post-meal digestive. Coriander Seeds are rich in Vit-C (the only seed to do so), Vit-B family and thiamin, riboflavin, and niacin. Coriander seeds are anti-bacterial, anti-microbial and anti-inflammatory in nature, and hence, consuming dhana dal after meals can have many medicinal benefits."
37,Pudina Chutney Masala,Masalas & Spices,Catch,52.8275,62.15,Blended Masalas,3.9,93,"Catch Pudina Chutney is a spicy dip made from mint leaves. This Pudina chutney masala is perfect for making the traditional Indian condiment. It is an extremely flavour condiment and is served in small quantities. It is one of the most popular Indian chutneys around, as it can be served with almost any food. Catch Pudina Chutney Masala is made using Low-Temperature Grinding technology."
38,Bodylicious Deodorant Spray - Mate (For Men),Fragrances & Deos,Engage,154.245,220.35,Men's Deodorants,4.1,14,"Engage Man Mate Deo Spray  For Beauty tips, tricks & more "
39,"Sport Deo Spray - Fresh, for Men",Men's Grooming,Engage,127.4075,231.65,Men's Deodorants,3.7,227,"A refreshing fresh fragrance with sparkling citrus top notes, sophisticated floral heart notes and a comples woody-musky base, which is perfect for a hot summer day or an enchanting date night.  For Beauty tips, tricks & more visitÃ‚Â https://abcd.blog/"
40,Choco Deck - Mini Delights,Chocolates & Candies,Fabelle,180.8,226,Chocolates,4.4,117,"Fabelle brings you Fabelle Choco Deck – Mini Delights, a pack of mini Milk Chocolate bars that will impress everyone, regardless of age. Perfect for gifting, it will make moments of celebration and bonding with friends and family even more special. Each bar is made of a layer of rich choco creme cradled between two layers of Milk Chocolate.
Experience an explosion of chocolate in your mouth as you first taste the sweetness from milk chocolate followed by the richness from the choco crème. Handcrafted by the Master Chocolatiers from the House of ITC, Fabelle gives you a dessert like an experience in a chocolate bar. Finding the perfect gift can be tricky so when in doubt, gift chocolate!"
41,Eau De Toilette - Homme Green,Fragrances & Deos,Colour Me,483.075,508.5,Eau De Toilette,4.3,203,"Colour Me is the of one of Milton Lloyds wonders. Now get a long-lasting, luxury fragrance in form of different variants of Colour Me. Take advantage of the finest quality and longest lasting oils, put in the highest concentration to ensure you a repeated delight."
42,Lemon & Tea Tree Oil Soap,Bath & Hand Wash,Liril,406.8,406.8,Bathing Bars & Soaps,4.2,165,"The new Liril soap, with its active ingredients like tea tree oil and lemon extract, gives you a freshness that lasts longer. The soap gives you a fragrance which not only lasts the whole day long as well as keeps your skin healthy. This soap ensures that your skin gets the best care and stays fresh. At the very same time, this soap also ensures that not only your skin retains its natural moisture but also maintains its oil balance. The lemon and tea tree oil ingredients in this soap give you a thick lather which lends a sense of freshness after every shower and makes bathing an enjoyable experience. The fragrance with cues of Lemon provides an invigorating shower experience. This soap has been consistent in bringing alive freshness. This soap also lasts for a long time and is a great choice for a daily refreshing shower! Buy the new Liril Soap in a 125-gm bar now, right here! With active ingredients, the Liril Lime Soap gives you freshness that lasts all day long. The lemon and tea tree oil ingredients in this soap give you instant freshness after every shower. Buy the Liril Lime Soap in a 125-gm bar, right here!"
43,Flavoured Cream Wafer Roll - Strawberry,Chocolates & Biscuits,Twister,310.75,310.75,"Cookies, Biscotti, Wafer",4.3,193,Very crispiest texture and pleasant odour of flavour.
44,Storage/Lunch Steel Container with PP Lid - Red,Steel Utensils,Classic Essentials,123.17,337.87,Steel Lunch Boxes,2.6,156,Add a dash of colour to your kitchen with these colourful and functional microwave safe stainless steel plastic coated containers with lid from Classic Essential. The containers have a steel interior and a plastic-coated exterior and can be used easily for reheating food or simply serving and storing your snacks/cereals.The exterior plastic gets heated first which in turn heats up the inner steel in which your food is absolutely safe of any toxins. Hence it might take longer than usual to heat up in the microwave. So go ahead and buy yourself a set.
45,Plain Green Olives,Tinned & Processed Food,Figaro,202.27,202.27,"Olive, Jalapeno, Gherkin",5,208,"Olives are small fruits that grow on olive trees (Olea European). they belong to a group of fruit called drupes, or stone fruits, and are related to mangoes, cherries, peaches, almonds, and pistachios. Olives are very high in Vitamin E and other powerful antioxidants."
46,Quinoa - Organic,Organic Staples,Organic Tattva,282.5,282.5,"Organic Rice, Other Rice",3.9,127,"Quinoa is one of the world’s most popular health foods. Organic Tattva's Organic Quinoa is one superfood which is gluten-free, high in protein and is full of anti-oxidants. It is one nutritious plant food which contains all nine essential amino acids. Enriched with anti-inflammatory phytonutrients, it is helpful in the prevention and treatment of various health conditions.  It contains small amounts of the heart-healthy omega-3 fatty acids and it boosts the immune system. Quinoa has a sweet and nutty flavour with a distinct texture. Organic Quinoa ensures purity and unadulterated goodness of this superfood. its high nutrition content makes it useful for people who are particular about their health. Organic Tattva's Quinoa is produced  and processed in compliance with NPOP standars in India, USDA -NOP, and EU Regulation EC no. 834/2007 & 889/2008."
47,After Shave Splash - Arctic Ice,Men's Grooming,Gillette,519.3706,529.97,Shaving Care,3.9,64,"Designed specifically for male skin. Finish a great shave with a crisp, Clean aftershave that refreshes just-shaved skin. Refreshes with a clean, Crisp, Masculine fragrance."
48,Colour Catcher Sheets,All Purpose Cleaners,Dylon ,902.87,902.87,Imported Cleaners,4,78,"1. Prevents Colour Run Accidents Colours that run in the water during the wash might bleed into your laundry. Thanks to its patented technology the sheet acts like a magnet and traps loose dye from the water - assuring maximum protection against discolouration and colour runs. The proof is on the sheet!
2. Allows Mixed Washes As the sheet protects against colour transfer it allows you to wash all colours together, even with whites. Colour Catcher protects your laundry and saves your time and money by allowing mixed washes.
3. Protects Colour Brightness Even if not seen by the eye, traces of dye might deposit every wash and build up a layer of mixed colours on the garment over time - making your coloured garments dull. The sheets trap dyes from the water before they deposit on the garments. It helps to keep your colours brighter for longer!
4. Prevents Greying Greying is an accumulation process. Grime and dirt are traces which redeposit on the fabric during several washes and their build-up becomes visible over time. By removing loose dirt particles from the wash the sheet protects the fabric from greying.
5. Effective at All Temperatures Extra absorbent fibres of the sheet provides maximum protection at all temperatures. For best results use Colour Catcher in every wash.
6. Prevents Residual Dirt Redepositing Dirt particles may also float in the wash water. With its unique feature, the sheet catches released dirt particles from the wash water for better cleanliness of your fabrics."
49,Sauce - Sweet & Sour,"Sauces, Spreads & Dips",Pantai,276.85,276.85,Thai & Asian Sauces,3.7,114,"Sweet & sour sauce is great for pineapple, fried rice, stir fried noodles, tofu dipping, etc."
50,Super Hot and Sweet Mango Chutney,Pickles & Chutney,Spice Story,113,141.25,Chutney Powder,3,137,"From the Bylanes & Streets of Eastern UP, comes the inspiration of this Chutney. Originally the Khatta Meetha Aam ka Achar, this sauce will transport you back to your childhood."
51,Pani Puri Mix Paste,Masalas & Spices,Mother's Recipe,55.3135,62.15,Cooking Pastes,4.1,66,"Make your home-made Panipuri more delightful, with the help of our Tangy Panipuri Mix Paste. Mix 4 tablespoon (50g) of Mother's Recipe Panipuri Mix Paste in 450 ml of chilled water. Dunk the puris filled with mashed boiled potatoes and Sprouts or Boondi in the prepared water and enjoy. Tastes best with our Tamarind Date Chutney."
52,Peach Syrup,Drinks & Beverages,Pekers,960.5,960.5,Gourmet Juices & Drinks,4.2,224,Pekers peach syrup takes you on a historical trip to north-west china together with the sweet aroma of fuzzy peach fruit and It’s yellow-red colour.
53,Acne & Oil Control Face Wash,Men's Grooming,Red Hunt,90.4,113,Face & Body,4,227,"Natural mineral kaolin deep cleans removes dirt, pollution and bacteria. Added sliver resists the impact and spread of acne causing bacteria"
54,Choco Deck - French Dessert Inspired Layered Bar,Chocolates & Candies,Fabelle,63.28,79.1,Chocolates,4,75,"Fabelle Choco Deck is a unique multi-layered chocolate experience with three irresistible layers of chocolate. Now introducing Fabelle Choco French Dessert Inspired Layered Bar where the bar is inspired from the French Dessert - Mille Feuille. The middle layer is made of soft choco creme, nuts and crisps cradled between two layers of Milk Chocolate thereby re-creating the iconic French dessert.Fabelle has reimagined the way chocolates are meant to look, feel and taste. Indulge your senses with Fabelle's range of premium chocolate bars available in a unique format."
55,Extra Fine Green Peas,Tinned & Processed Food,Daucy,228.825,254.25,Beans & Pulses,4.5,123,"We bring for you Europe’s leading brand of canned vegetables from the Cooperative d’aucy Group, France, consisting of more than 25000 farmer members and 60 production sites. The history of Daucy began in Brittany in 1965. In 1979, d'aucy became part of a cooperative enterprise. Today, and for almost 50 years now, d'aucy has been trying to offer you the best of its vegetables, whether canned, frozen or in our prepared dishes. The vegetables are processed and packed within a few hours of picking, thus ensuring that the micronutrients are saved from deterioration. Each vegetable awakens in its own season, at its own pace so that you can enjoy all year round all their flavors and all their benefits, daucy's mission is to harvest them in the right season when they are ripe and then find the best way to keep them. Daucy guarantees top quality and traceability of its products. We ensure this guarantee by controlling all the stages of the production from the farmer’s field to the consumer’s plate. Daucy Extra Fine Green Peas are hand picked at their peak in order to ensure that only the best make it into the can. Filled with dietary fiber. Daucy selects its peas for their fondant and tenderness.Our canned peas are an excellent nutritional boost, which can be added to dishes or eaten straight out the can. Cook, steam or grill them to your taste. You can use them to prepare salads, side dishes, vegetable dishes or pickles."
56,Soothing Cucumber Facial Scrub With Apricot Seeds,Skin Care,TJORI,338.322,563.87,Face Care,,34,"The soothing feel of cucumber meets the gentle exfoliation of apricot in our wonderful scrub. While the apricot cleanses the top layer of dead cells and reveals fresh, glowing skin from below, vitamin-rich cucumber cools it down gently. This non-abrasive scrub also reduces excess sebum production, which makes it perfect for those with oily skin."
57,Foochka,Ready To Cook & Eat,Shareat,67.8,67.8,"Papads, Ready To Fry",3.9,179,Unfried multigrain and hygienic Pani Puri Papad. We use high-quality grains for making the Puris made with an automatic machine from Italy. In 5 minutes you can make hygienic Pani puri at your home by using your choice of oil for frying.
58,Argan-Liquid Gold Hair Spa,Hair Care,Aroma Treasures,225.435,237.3,Hair & Scalp Treatment,4.4,238,"Our beautifully crafted Hair Spa Collection promises to be the perfect solution for nourishing and rejuvenating your tresses. Made with Argan Oil it revives moisture in the dull dry hair, reduces frizz, smooths unmanageable locks of curly hair, deeply nurtures hair shafts & follicles to prevent hair fall, repair split ends and strengthens the roots!Revitalising Hair Oil - The luxurious fusion of Moroccan Argan Oil, Sesame Oil, Olive Oil, Lavender and Geranium provides intense nutrition to revitalize dry and damaged hair.Follikare Wash - Precious blend of Moroccan Argan Oil, Hibiscus, and Ylang Ylang nudges away sebum to strengthen the hair follicles and improve hair growth.Follikare Deep Conditioning Mask - Perfect balance of Moroccan Argan Oil, Patchouli and Shea Butter restores hairs natural luster and provide deep nourishment to brittle, weak and frizzy locks.Restorative Nourishing Tonic - Exotic elixir of Moroccan Argan Oil, Chamomile, Watercress and Sage Extracts strengthens the root to prevent hair fall, enhance the volume and silken the texture of hair.Satin Feel Leave-On - Potent serum of Moroccan Argan Oil and Vitamin E repairs damaged hair strands, while moisturises and smoothens unmanageable dry frizzy hair.Argan - Liquid Gold - Aroma Treasures brings to you an exclusive Hair Spa Collection enriched with Argan Oil extracted from the kernels of Moroccos Argan tree."
59,"Baby Bed Protector - Sublimation Print, Pink",Baby Bath & Hygiene,Quick Dry,224.87,224.87,Baby Health,3.7,189,"These bed protectors for babies bed from Quick Dry are quick absorbent that makes it dry faster. It protects the baby against the dust mites, bacteria and allergens. This leakproof protector is soft, cosy and smooth. It can be easily washed in the washing machine. It comes in a variety of colours with attractive print designs and sizes."
